X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.98,514.50,294.00,110.25,7.00,2,0.00,0,15.55,21.330
0.98,514.50,294.00,110.25,7.00,3,0.00,0,15.55,21.330
0.98,514.50,294.00,110.25,7.00,4,0.00,0,15.55,21.330
0.98,514.50,294.00,110.25,7.00,5,0.00,0,15.55,21.330
0.90,563.50,318.50,122.50,7.00,2,0.00,0,20.84,28.280
0.90,563.50,318.50,122.50,7.00,3,0.00,0,21.46,25.380
0.90,563.50,318.50,122.50,7.00,4,0.00,0,20.71,25.160
0.90,563.50,318.50,122.50,7.00,5,0.00,0,19.68,29.600
0.86,588.00,294.00,147.00,7.00,2,0.00,0,19.50,27.300
0.86,588.00,294.00,147.00,7.00,3,0.00,0,19.95,21.970
0.86,588.00,294.00,147.00,7.00,4,0.00,0,19.34,23.490
0.86,588.00,294.00,147.00,7.00,5,0.00,0,18.31,27.870
0.82,612.50,318.50,147.00,7.00,2,0.00,0,17.05,23.770
0.82,612.50,318.50,147.00,7.00,3,0.00,0,17.41,21.460
0.82,612.50,318.50,147.00,7.00,4,0.00,0,16.95,21.160
0.82,612.50,318.50,147.00,7.00,5,0.00,0,15.98,24.930
0.79,637.00,343.00,147.00,7.00,2,0.00,0,28.52,37.730
0.79,637.00,343.00,147.00,7.00,3,0.00,0,29.90,31.270
0.79,637.00,343.00,147.00,7.00,4,0.00,0,29.63,30.930
0.79,637.00,343.00,147.00,7.00,5,0.00,0,28.75,39.440
0.76,661.50,416.50,122.50,7.00,2,0.00,0,24.77,29.790
0.76,661.50,416.50,122.50,7.00,3,0.00,0,23.93,29.680
0.76,661.50,416.50,122.50,7.00,4,0.00,0,24.77,29.790
0.76,661.50,416.50,122.50,7.00,5,0.00,0,23.93,29.400
0.74,686.00,245.00,220.50,3.50,2,0.00,0,6.07,10.900
0.74,686.00,245.00,220.50,3.50,3,0.00,0,6.05,11.190
0.74,686.00,245.00,220.50,3.50,4,0.00,0,6.01,10.940
0.74,686.00,245.00,220.50,3.50,5,0.00,0,6.04,11.170
0.71,710.50,269.50,220.50,3.50,2,0.00,0,6.37,11.270
0.71,710.50,269.50,220.50,3.50,3,0.00,0,6.40,11.720
0.71,710.50,269.50,220.50,3.50,4,0.00,0,6.37,11.290
0.71,710.50,269.50,220.50,3.50,5,0.00,0,6.40,11.670
0.69,735.00,294.00,220.50,3.50,2,0.00,0,6.85,11.740
0.69,735.00,294.00,220.50,3.50,3,0.00,0,6.79,12.050
0.69,735.00,294.00,220.50,3.50,4,0.00,0,6.77,11.730
0.69,735.00,294.00,220.50,3.50,5,0.00,0,6.81,11.930
0.66,759.50,318.50,220.50,3.50,2,0.00,0,7.18,12.400
0.66,759.50,318.50,220.50,3.50,3,0.00,0,7.10,12.230
0.66,759.50,318.50,220.50,3.50,4,0.00,0,7.10,12.400
0.66,759.50,318.50,220.50,3.50,5,0.00,0,7.10,12.140
0.64,784.00,343.00,220.50,3.50,2,0.00,0,10.85,16.780
0.64,784.00,343.00,220.50,3.50,3,0.00,0,10.54,16.800
0.64,784.00,343.00,220.50,3.50,4,0.00,0,10.77,16.750
0.64,784.00,343.00,220.50,3.50,5,0.00,0,10.56,16.670
0.62,808.50,367.50,220.50,3.50,2,0.00,0,8.60,12.070
0.62,808.50,367.50,220.50,3.50,3,0.00,0,8.49,12.220
0.62,808.50,367.50,220.50,3.50,4,0.00,0,8.45,12.080
0.62,808.50,367.50,220.50,3.50,5,0.00,0,8.50,12.040
0.98,514.50,294.00,110.25,7.00,2,0.10,1,24.58,26.470
0.98,514.50,294.00,110.25,7.00,3,0.10,1,24.63,26.370
0.98,514.50,294.00,110.25,7.00,4,0.10,1,24.63,26.440
0.98,514.50,294.00,110.25,7.00,5,0.10,1,24.59,26.290
0.90,563.50,318.50,122.50,7.00,2,0.10,1,29.03,32.920
0.90,563.50,318.50,122.50,7.00,3,0.10,1,29.87,29.870
0.90,563.50,318.50,122.50,7.00,4,0.10,1,29.14,29.580
0.90,563.50,318.50,122.50,7.00,5,0.10,1,28.09,34.330
0.86,588.00,294.00,147.00,7.00,2,0.10,1,26.28,30.890
0.86,588.00,294.00,147.00,7.00,3,0.10,1,26.91,25.600
0.86,588.00,294.00,147.00,7.00,4,0.10,1,26.37,27.030
0.86,588.00,294.00,147.00,7.00,5,0.10,1,25.27,31.730
0.82,612.50,318.50,147.00,7.00,2,0.10,1,23.53,27.310
0.82,612.50,318.50,147.00,7.00,3,0.10,1,24.03,24.910
0.82,612.50,318.50,147.00,7.00,4,0.10,1,23.54,24.610
0.82,612.50,318.50,147.00,7.00,5,0.10,1,22.58,28.510
0.79,637.00,343.00,147.00,7.00,2,0.10,1,35.56,41.680
0.79,637.00,343.00,147.00,7.00,3,0.10,1,37.12,35.280
0.79,637.00,343.00,147.00,7.00,4,0.10,1,36.90,34.430
0.79,637.00,343.00,147.00,7.00,5,0.10,1,35.94,43.330
0.76,661.50,416.50,122.50,7.00,2,0.10,1,32.96,33.870
0.76,661.50,416.50,122.50,7.00,3,0.10,1,32.12,34.070
0.76,661.50,416.50,122.50,7.00,4,0.10,1,32.94,34.140
0.76,661.50,416.50,122.50,7.00,5,0.10,1,32.21,33.670
0.74,686.00,245.00,220.50,3.50,2,0.10,1,10.36,13.430
0.74,686.00,245.00,220.50,3.50,3,0.10,1,10.43,13.710
0.74,686.00,245.00,220.50,3.50,4,0.10,1,10.36,13.480
0.74,686.00,245.00,220.50,3.50,5,0.10,1,10.39,13.700
0.71,710.50,269.50,220.50,3.50,2,0.10,1,10.71,13.800
